,Price,Area,Location,LandscapedGardens,SwimmingPool,BHK
159,7295999,1536,Madhavaram,1,1,3
161,8507000,1791,Madhavaram,1,1,3
3476,6698999,1785,Madhavaram,9,9,3
3496,5000000,1555,Madhavaram,9,9,3
3525,5200000,1562,Madhavaram,9,9,3
3526,7859999,1614,Madhavaram,9,9,3
3557,7859999,1614,Madhavaram,9,9,3
